age,sex,bmi,children,smoker,region,pure_premium,gross_premium,monthly_premium,relativity
19,female,27.9,0,yes,southwest,16266.27434602723,21146.1566498354,1762.1797208196167,2.699333246537825
18,male,33.77,1,no,southeast,4047.9161369539815,5262.290978040176,438.5242481700147,0.6717380006777952
28,male,33.0,3,no,southeast,6148.707111194846,7993.3192445533,666.1099370461084,1.0203571620274214
33,male,22.705,0,no,northwest,5220.0731598062775,6786.095107748161,565.5079256456801,0.8662534966445016
32,male,28.88,0,no,northwest,5535.951969596357,7196.737560475264,599.7281300396054,0.9186725174359103
31,female,25.74,0,no,southeast,5161.356409944223,6709.7633329274895,559.1469444106241,0.8565096504717608
46,female,33.44,1,no,southeast,9442.35337071441,12275.059381928735,1022.9216151607279,1.5669266260317898
37,female,27.74,3,no,northwest,8343.428431441007,10846.456960873309,903.8714134061091,1.384563746805254
37,male,29.83,2,no,northeast,7882.828483923302,10247.677029100292,853.9730857583577,1.308128742375873
60,female,25.84,0,no,northwest,12430.332270810997,16159.431952054298,1346.619329337858,2.062771624917728
25,male,26.22,0,no,northeast,4612.533934828899,5996.294115277569,499.6911762731308,0.7654344157860877
62,female,26.29,0,yes,southeast,55214.36775644049,71778.67808337264,5981.55650694772,9.162637700619316
23,male,34.4,0,no,southwest,4213.998682251045,5478.198286926358,456.5165239105299,0.699298837698811
56,female,39.82,0,no,southeast,12709.966450817634,16522.956386062924,1376.9130321719103,2.109175971906048
27,male,42.13,0,yes,southeast,24180.904371864057,31435.175683423276,2619.5979736186064,4.012739347302732
19,male,24.6,1,no,southwest,3531.977374968115,4591.570587458549,382.63088228821243,0.5861197070366235
52,female,30.78,1,no,northeast,12064.546310827975,15683.910204076368,1306.992517006364,2.0020706812415825
23,male,23.845,0,no,northeast,4216.965841832161,5482.055594381809,456.8379661984841,0.6997912278020828
56,male,40.3,0,no,southwest,11582.616773696294,15057.401805805182,1254.7834838170986,1.92209610351132
30,male,35.3,0,yes,southwest,23066.65310563817,29986.64903732962,2498.887419777468,3.827833115922527
60,female,36.005,0,no,northeast,15103.92974702057,19635.10867112674,1636.2590559272285,2.5064460891415985
30,female,32.4,1,no,southwest,5726.683641573553,7444.68873404562,620.3907278371349,0.9503237937136607
18,male,34.1,0,no,southeast,3777.3691196236937,4910.579855510802,409.2149879592335,0.6268416376203472
34,female,31.92,1,yes,northeast,32803.258418648795,42644.23594424343,3553.6863286869525,5.443589857185497
37,male,28.025,2,no,northwest,7297.181239405229,9486.335611226797,790.5279676022332,1.2109425616782015
59,female,27.72,3,no,southeast,14555.5869812697,18922.26307565061,1576.8552563042176,2.415450460603504
63,female,23.085,0,no,northeast,13702.183777246908,17812.838910420982,1484.4032425350817,2.27383108346056
55,female,32.775,2,no,northwest,13800.754772121032,17940.981203757343,1495.0817669797786,2.2901886068828192
23,male,17.385,1,no,northwest,3936.3084321774263,5117.200961830655,426.4334134858879,0.6532170793122513
31,male,36.3,2,yes,southwest,27888.52238719972,36255.07910335963,3021.256591946636,4.628006024930265
22,male,35.6,0,yes,southwest,18497.17523450272,24046.327804853536,2003.8606504044612,3.069543708373754
18,female,26.315,0,no,northeast,4044.773776614073,5258.205909598295,438.1838257998579,0.6712165366007928
19,female,28.6,5,no,southwest,5352.593264002378,6958.3712432030925,579.8642702669243,0.8882447600082944
63,male,28.31,0,no,northwest,13132.406991848246,17072.12908940272,1422.6774241168932,2.1792785518104534
28,male,36.4,1,yes,southwest,23841.634796369064,30994.125235279786,2582.843769606649,3.9564387080050754
19,male,20.425,0,no,northwest,3409.9598040702176,4432.947745291283,369.41231210760697,0.5658713035743445
62,female,32.965,3,no,northwest,18139.29211270445,23581.079746515785,1965.0899788763154,3.0101542139822026
26,male,20.8,0,no,southwest,3786.5122985054613,4922.4659880571,410.20549900475834,0.6283589172511697
35,male,36.67,1,yes,northeast,33828.40456222247,43976.925930889214,3664.743827574101,5.613709394643337
60,male,39.9,0,yes,southwest,57215.2364716423,74379.807413135,6198.317284427917,9.494675100825884
24,female,26.6,0,no,northeast,4807.50514757642,6249.756691849347,520.8130576541122,0.7977892295247189
31,female,36.63,2,no,southeast,6972.996442781258,9064.895375615637,755.4079479679698,1.1571451904465455
41,male,21.78,1,no,southeast,6529.714710606029,8488.629123787838,707.3857603156531,1.0835840853164262
37,female,30.8,2,no,southeast,7604.695363190752,9886.103972147977,823.8419976789982,1.2619734911003986
38,male,37.05,1,no,northeast,8335.89964043769,10836.669532568998,903.0557943807498,1.3833143693861125
